popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,124558,0,0.519,0.185,0,-19.579,1,0.0452,0.972,3.55E-05,0.0705,0.704,119.371,4,classical
0,759920,0,0.367,0.302,0,-16.454,1,0.0414,0.846,0.679,0.0729,0.356,105.35,4,classical
0,387333,0,0.39,0.248,2,-14.52,0,0.0411,0.986,0.92,0.104,0.15,94.64,4,classical
0,193733,0,0.707,0.261,5,-14.57,1,0.0559,0.994,0.904,0.0724,0.576,117.466,4,classical
0,387333,0,0.39,0.248,2,-14.52,0,0.0411,0.986,0.92,0.104,0.15,94.64,4,classical
0,234973,0,0.241,0.017,6,-29.271,0,0.0432,0.993,0.883,0.0548,0.0875,72.821,4,classical
0,145013,0,0.615,0.194,4,-20.573,0,0.0393,0.973,0.808,0.12,0.589,75.981,4,classical
0,164640,0,0.585,0.309,4,-12.274,0,0.0945,0.992,0.918,0.0558,0.578,134.927,4,classical
0,150440,0,0.285,0.00464,3,-38.222,0,0.0435,0.995,0.844,0.0582,0.216,72.32,3,classical
0,174720,0,0.411,0.00692,6,-30.268,1,0.0512,0.994,0.882,0.0538,0.17,101.663,4,classical
0,141986,0,0.242,0.0296,5,-28.611,1,0.0401,0.993,0.902,0.0751,0.0438,70.249,4,classical
0,70920,0,0.523,0.224,10,-19.966,1,0.0403,0.771,0.00984,0.0518,0.961,110.157,4,classical
0,129132,0,0.416,0.00701,6,-31.421,1,0.0558,0.995,0.952,0.078,0.234,72.341,4,classical
0,129293,0,0.433,0.073,2,-29.13,1,0.0493,0.994,0.863,0.0829,0.424,152.601,4,classical
0,155000,0,0.45,0.0485,2,-31.079,1,0.038,0.972,0.911,0.172,0.316,126.978,4,classical
0,173560,0,0.397,0.213,6,-19.174,0,0.0303,0.597,0.0596,0.196,0.506,107.562,3,classical
0,126000,0,0.277,0.0113,4,-38.384,0,0.0285,0.769,0.00268,0.321,0.0725,102.532,4,classical
42,288496,0,0.547,0.62,11,-8.601,1,0.062,0.408,0.0002,0.0996,0.2,83.997,4,classical
44,228985,0,0.63,0.414,9,-9.888,0,0.0291,0.615,0.000329,0.162,0.394,100.946,4,classical
45,270000,0,0.57,0.703,7,-5.51,1,0.0486,0.313,5.92E-06,0.0556,0.598,172.025,4,classical
26,281558,0,0.327,0.279,8,-10.318,1,0.0291,0.928,0.000144,0.12,0.15,69.66,5,classical
0,257680,0,0.358,0.233,5,-10.632,1,0.0305,0.884,2.80E-06,0.0838,0.167,82.938,3,classical
43,281103,0,0.701,0.559,7,-12.297,0,0.0537,0.752,0.00077,0.0935,0.542,112.99,4,classical
0,137933,0,0.499,0.215,11,-17.369,0,0.031,0.898,0.913,0.0989,0.74,132.383,4,classical
0,303297,0,0.105,0.154,1,-14.355,1,0.0334,0.946,0.895,0.0683,0.0756,71,4,classical
1,181600,0,0.568,0.396,8,-13.921,1,0.029,0.738,0.159,0.116,0.578,136.489,4,classical
0,214151,0,0.347,0.499,10,-7.596,1,0.0344,0.756,0,0.183,0.345,133.872,4,classical
0,256880,0,0.168,0.306,5,-9.298,1,0.0331,0.828,3.92E-06,0.0969,0.131,77.89,4,classical
0,303297,0,0.105,0.154,1,-14.355,1,0.0334,0.946,0.895,0.0683,0.0756,71,4,classical
0,154960,0,0.457,0.224,9,-19.476,0,0.0344,0.715,1.20E-06,0.224,0.48,80.845,4,classical
0,303297,0,0.105,0.154,1,-14.355,1,0.0334,0.946,0.895,0.0683,0.0756,71,4,classical
0,214151,0,0.347,0.499,10,-7.596,1,0.0344,0.756,0,0.183,0.345,133.872,4,classical
0,256880,0,0.168,0.306,5,-9.298,1,0.0331,0.828,3.92E-06,0.0969,0.131,77.89,4,classical
0,256880,0,0.168,0.306,5,-9.298,1,0.0331,0.828,3.92E-06,0.0969,0.131,77.89,4,classical
83,204600,1,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,4,hip-hop
84,119133,1,0.872,0.391,0,-9.144,0,0.242,0.469,4.13E-06,0.297,0.437,134.021,4,hip-hop
67,233630,0,0.512,0.695,4,-6.349,1,0.0271,0.0265,0.00815,0.146,0.351,145.957,4,hip-hop
91,218364,1,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41E-06,0.093,0.366,165.921,4,hip-hop
